Idagio-url,Idagio-title,discogs-url,bandamp-url
https://app.idagio.com/fr/albums/bach-j-s-violin-partita-no-2-sanz-g-suite-espanola-arr-for-guitar,"Bach, J.S.: Violin Partita No. 2 / Sanz, G.: Suite Española (Arr. for Guitar)",https://www.discogs.com/release/19215292-Celedonio-Romero-JS-Bach-Gaspar-Sanz-Partita-No-2-For-Violin-Suite-No-3-For-Cello-Suite-Espa%C3%B1ola,
https://app.idagio.com/fr/albums/handel-C138E5DC-65E0-4636-8232-F54AB48B2E73,,,
https://app.idagio.com/fr/albums/j-s-bach-the-six-partitas-989417F4-D907-4381-AE02-7ADF6604520F,,,
https://app.idagio.com/fr/albums/scarlatti-12-sonatas,,,https://evidenceclassics.bandcamp.com/album/scarlatti-12-sonatas
