artistId,artistName,albumYear,albumTitle,musicRating,avgRating
interpol-mn0000096576,Interpol,2002,Turn on the Bright Lights,9,10-2469
interpol-mn0000096576,Interpol,2004,Antics,8,9-1316
interpol-mn0000096576,Interpol,2007,Our Love to Admire,6,8-915
interpol-mn0000096576,Interpol,2010,Interpol,6,8-605
interpol-mn0000096576,Interpol,2014,El Pintor,6,8-629
interpol-mn0000096576,Interpol,2018,Marauder,7,8-282
interpol-mn0000096576,Interpol,2022,The Other Side of Make-Believe,6,8-115
interpol-mn0000096576,Interpol,2026,This Mirror Weighs a Ton,7,8-67
